"gsm","donor","cond","celltype","x","y"
"GSM7717085","PWH27","Wound7","Fibroblast",-2.9903805,0.519835
"GSM7717088","PWH28","Wound1","Fibroblast",-1.4842225,-1.1674659
"GSM7717087","PWH28","Skin","Fibroblast",-2.9811933,5.582944
"GSM7717087","PWH28","Skin","Fibroblast",-3.4250305,0.7377134
"GSM7717085","PWH27","Wound7","Fibroblast",10.959846,7.9969244
"GSM7717087","PWH28","Skin","Fibroblast",-2.7645078,-0.68159795
"GSM7717082","PWH26","Wound30","Fibroblast",2.497478,0.04000849
"GSM7717090","PWH28","Wound30","Fibroblast",2.3518386,-0.014467991
"GSM7717085","PWH27","Wound7","Fibroblast",-3.589878,0.9880661
"GSM7717089","PWH28","Wound7","Fibroblast",-1.7241733,1.3151522
"GSM7717079","PWH26","Skin","Fibroblast",-3.3017027,0.999218
"GSM7717090","PWH28","Wound30","Fibroblast",2.904406,0.31526238
"GSM7717090","PWH28","Wound30","Fibroblast",2.166011,0.17991987
"GSM7717090","PWH28","Wound30","Fibroblast",-2.1468108,-0.6306625
"GSM7717087","PWH28","Skin","Fibroblast",-3.1865082,-0.41087145
"GSM7717085","PWH27","Wound7","Fibroblast",0.7280444,0.5603483
"GSM7717087","PWH28","Skin","Fibroblast",-3.6709392,-0.57120836
"GSM7717089","PWH28","Wound7","Fibroblast",-2.445858,1.242859
"GSM7717079","PWH26","Skin","Fibroblast",1.2885135,-3.478366
