"donor","cond","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Donor B","1","CXCL12",497,1.29449667531437,0.82897384305835,1.63778487144608,0.468257135555942
"Donor B","1","ACTA2",497,0.109037127435884,0.191146881287726,0.157938592037664,0.0827976387785723
"Donor B","30","COL1A1",2096,5.87056609998814,1,6.13429645382115,0.985411162746202
"Donor B","30","COL3A1",2096,5.37064975409727,1,5.64746431764185,0.989862365291936
"Donor B","30","DCN",2096,3.99801211327078,0.998568702290076,4.11208804910007,0.657093168623847
"Donor B","30","LUM",2096,4.06786562653312,0.999045801526718,4.28275838846475,1
"Donor B","30","TIMP1",2096,2.50627713895081,0.996660305343511,2.75038312067748,0.475239909493279
"Donor B","30","CHI3L1",2096,0.0139407007357361,0.0133587786259542,0.0281042529810684,0.502099169185876
"Donor B","30","FN1",2096,3.09540551345195,0.99236641221374,3.57143439834673,0.882836732341304
"Donor B","30","MMP1",2096,0.0485050308139283,0.0567748091603053,0.12682569895927,0.0555636776544601
"Donor B","30","MMP3",2096,0.033259466278111,0.0610687022900763,0.0600841940975244,0.0390248257226052
"Donor B","30","IL6",2096,0.223169858563345,0.166984732824427,0.586059436411796,0.0584679818093392
"Donor B","30","CXCL12",2096,0.905894682950357,0.817748091603053,1.12692146490132,0.144980924935752
"Donor B","30","ACTA2",2096,0.345101398043341,0.526240458015267,0.694237805693114,0.541942329289249
"Donor B","7","COL1A1",1992,4.50349787845265,0.998493975903614,5.00519685352294,0.679875905698582
"Donor B","7","COL3A1",1992,3.79776893151639,0.992971887550201,4.38039016860181,0.645180084954419
"Donor B","7","DCN",1992,3.27556716345607,0.995481927710843,3.35324764799761,0
"Donor B","7","LUM",1992,2.81319363417781,0.980923694779116,3.31239149496261,0.674192878413951
"Donor B","7","TIMP1",1992,2.59954746528813,0.991967871485944,2.93423037254657,0.562589303475634
"Donor B","7","CHI3L1",1992,0.0156278565056276,0.0210843373493976,0.0333899201399166,0.596530751866208
"Donor B","7","FN1",1992,2.44282126036366,0.966867469879518,3.0769824860262,0.692574045392507
"Donor B","7","MMP1",1992,0.348340141128838,0.312248995983936,1.02227098065154,0.467924080407767
"Donor B","7","MMP3",1992,0.178670939530949,0.186244979919679,0.944181583921475,0.623347961708257
"Donor B","7","IL6",1992,0.971218556001235,0.680722891566265,1.51173586680703,0.702327549602458
"Donor B","7","CXCL12",1992,0.80661199464369,0.720381526104418,0.897812589074681,0
"Donor B","7","ACTA2",1992,0.704885043696595,0.721887550200803,1.22926733709812,1
"Donor C","0","COL1A1",907,3.73684014800328,0.991179713340684,4.68704864649427,0.593784745815018
"Donor C","0","COL3A1",907,3.20127458430325,0.990077177508269,3.99907308733832,0.541450369372168
"Donor C","0","DCN",907,4.08334533575841,0.990077177508269,4.5080921013218,1
"Donor C","0","LUM",907,1.41356228876805,0.854465270121279,1.84077272582327,0.180087114443722
"Donor C","0","TIMP1",907,1.7666756634891,0.961411245865491,2.1272124196968,0.179159426783736
"Donor C","0","CHI3L1",907,0.00172219790787427,0.00330760749724366,0.00206041212851861,0.0368104862494149
"Donor C","0","FN1",907,1.54272172390677,0.914002205071665,1.87688113552774,0.230780892474736
"Donor C","0","MMP1",907,0.00292541014092622,0.00441014332965821,0.00616854406042287,0
"Donor C","0","MMP3",907,0.000815897640160896,0.00220507166482911,0.00137407967742831,0.000221772386073735
"Donor C","0","IL6",907,1.02022955488865,0.589856670341786,1.810197163031,0.909924021630694
"Donor C","0","CXCL12",907,1.89228855447608,0.837927232635061,2.47808168949716,1
"Donor C","0","ACTA2",907,0.130634289055897,0.223814773980154,0.236458265028692,0.150021102912955
"Donor C","1","COL1A1",260,3.16943569922767,1,3.68006220613682,0.32129340774633
"Donor C","1","COL3A1",260,2.39196587618086,0.942307692307692,2.83439012199017,0.224621570780855
"Donor C","1","DCN",260,3.55847546447244,1,3.80600408827129,0.392049716280344
"Donor C","1","LUM",260,0.977932214388439,0.776923076923077,1.30441068145842,0
"Donor C","1","TIMP1",260,3.04441559568347,1,3.85486359995503,1
"Donor C","1","CHI3L1",260,0.0213113756672924,0.0192307692307692,0.050210302415909,0.897036869991947
"Donor C","1","FN1",260,1.10144133400133,0.842307692307692,1.37294020790169,0.0368668786657526
"Donor C","1","MMP1",260,0.547567556601785,0.276923076923077,1.70287800589026,0.781349582537575
"Donor C","1","MMP3",260,0.184223240616219,0.103846153846154,0.891104519961611,0.588267939055872
"Donor C","1","IL6",260,1.05100007517329,0.65,1.84677553130892,0.935366316169776
"Donor C","1","CXCL12",260,1.46737249268126,0.880769230769231,1.79385195492391,0.567016950220488
"Donor C","1","ACTA2",260,0.158010259783195,0.230769230769231,0.315064560434374,0.217318727554673
"Donor C","30","COL1A1",2335,5.86919011261604,1,6.18820921816544,1
"Donor C","30","COL3A1",2335,5.34591081268327,0.999571734475375,5.68473091242711,1
"Donor C","30","DCN",2335,3.8494775461116,0.998715203426124,3.98656416096577,0.548399839601925
"Donor C","30","LUM",2335,3.65041544978147,0.993576017130621,3.95881503446521,0.891233869961692
"Donor C","30","TIMP1",2335,2.54733016082115,0.995717344753747,2.80198343222639,0.499756217990003
"Donor C","30","CHI3L1",2335,0.00247940017308543,0.00385438972162741,0.00514043321918865,0.0918368921013027
"Donor C","30","FN1",2335,3.25822129416649,0.977301927194861,3.87591659964748,1
"Donor C","30","MMP1",2335,0.0511712274501677,0.0685224839400428,0.160610250337528,0.0711217597595439
"Donor C","30","MMP3",2335,0.0293532107296613,0.0539614561027837,0.0684259913506638,0.0445381381549398
"Donor C","30","IL6",2335,0.177711514580678,0.122912205567452,0.502000061664611,0
"Donor C","30","CXCL12",2335,0.7809506813343,0.727194860813705,0.987340139726781,0.0566533577275953
"Donor C","30","ACTA2",2335,0.273513279687601,0.390149892933619,0.615557299993589,0.474581170595025
"Donor C","7","COL1A1",909,4.2965485807368,0.993399339933993,4.76439552298887,0.614714872603979
"Donor C","7","COL3A1",909,3.64503519186633,0.987898789878988,4.10916309024101,0.571398161513308
"Donor C","7","DCN",909,3.49557003626705,0.99009900990099,3.68133030552635,0.284092508375792
"Donor C","7","LUM",909,2.50457087630467,0.962596259625963,3.11330396486575,0.607347919503168
"Donor C","7","TIMP1",909,2.86528750259051,0.99009900990099,3.22372862572981,0.700135536652473
"Donor C","7","CHI3L1",909,0.0204646464722231,0.0319031903190319,0.0381491839659213,0.681557826401263
"Donor C","7","FN1",909,2.01656815368783,0.959295929592959,2.69314787839114,0.544876358372048
"Donor C","7","MMP1",909,0.581695720437654,0.44994499449945,1.53302382990655,0.703130245354172
"Donor C","7","MMP3",909,0.147604880704426,0.176017601760176,0.797733314036779,0.526556461921408
"Donor C","7","IL6",909,1.0978371154359,0.733773377337734,1.73744509142211,0.859320899584954
"Donor C","7","CXCL12",909,1.13926697360006,0.815181518151815,1.30842064729601,0.259834263741253
"Donor C","7","ACTA2",909,0.504723168457677,0.700770077007701,0.87662066595839,0.698086734872419
