donor,cond,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
PWH28,Wound1,FN1,260,1.1014413340013325,0.8423076923076923,1.372940207901688
PWH28,Wound1,MMP1,260,0.547567556601785,0.27692307692307694,1.702878005890264
PWH28,Wound1,MMP3,260,0.18422324061621878,0.10384615384615385,0.8911045199616107
PWH28,Wound1,IL6,260,1.0510000751732858,0.65,1.846775531308925
PWH28,Wound1,CXCL12,260,1.4673724926812552,0.8807692307692307,1.7938519549239107
PWH28,Wound1,ACTA2,260,0.15801025978319536,0.23076923076923078,0.31506456043437414
PWH28,Wound30,COL1A1,2335,5.8691901126160415,1.0,6.1882092181654365
PWH28,Wound30,COL3A1,2335,5.345910812683271,0.9995717344753747,5.684730912427108
PWH28,Wound30,DCN,2335,3.8494775461116046,0.9987152034261242,3.9865641609657656
PWH28,Wound30,LUM,2335,3.650415449781467,0.9935760171306209,3.958815034465206
PWH28,Wound30,TIMP1,2335,2.5473301608211543,0.9957173447537473,2.8019834322263875
PWH28,Wound30,CHI3L1,2335,0.002479400173085426,0.003854389721627409,0.005140433219188652
PWH28,Wound30,FN1,2335,3.2582212941664923,0.9773019271948609,3.8759165996474754
PWH28,Wound30,MMP1,2335,0.05117122745016766,0.06852248394004283,0.16061025033752807
PWH28,Wound30,MMP3,2335,0.029353210729661273,0.053961456102783724,0.06842599135066382
PWH28,Wound30,IL6,2335,0.17771151458067821,0.12291220556745182,0.5020000616646105
PWH28,Wound30,CXCL12,2335,0.7809506813342998,0.7271948608137045,0.9873401397267811
PWH28,Wound30,ACTA2,2335,0.27351327968760114,0.39014989293361885,0.6155572999935892
PWH28,Wound7,COL1A1,909,4.296548580736795,0.9933993399339934,4.764395522988865
PWH28,Wound7,COL3A1,909,3.645035191866327,0.9878987898789879,4.109163090241013
PWH28,Wound7,DCN,909,3.495570036267055,0.9900990099009901,3.681330305526347
PWH28,Wound7,LUM,909,2.504570876304674,0.9625962596259626,3.1133039648657483
PWH28,Wound7,TIMP1,909,2.865287502590511,0.9900990099009901,3.2237286257298123
PWH28,Wound7,CHI3L1,909,0.020464646472223052,0.0319031903190319,0.03814918396592132
PWH28,Wound7,FN1,909,2.0165681536878304,0.9592959295929593,2.6931478783911365
PWH28,Wound7,MMP1,909,0.5816957204376542,0.44994499449944997,1.533023829906549
PWH28,Wound7,MMP3,909,0.14760488070442626,0.17601760176017603,0.7977333140367794
PWH28,Wound7,IL6,909,1.0978371154358968,0.7337733773377337,1.7374450914221105
PWH28,Wound7,CXCL12,909,1.1392669736000587,0.8151815181518152,1.3084206472960087
PWH28,Wound7,ACTA2,909,0.5047231684576767,0.7007700770077008,0.8766206659583897
